"","...1","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"114",14,"18 jaar of ouder","Waarde",2022,"Harderwijk","Harderwijk","Gemeente","GM0243",69.9,47.3,16.8,17.5,47.3,33.4,20.8,16.4,9.7,13.1
"115",15,"18 jaar of ouder","Waarde",2022,"Hardinxveld-Giessendam","Hardinxveld-Giessendam","Gemeente","GM0523",72.1,40.8,17.4,15.1,49.8,30.9,18.5,15.7,8,11.3
"116",16,"18 jaar of ouder","Waarde",2022,"Harlingen","Harlingen","Gemeente","GM0072",68.2,50.6,19,19.8,44.4,36,18.3,16.1,8.4,13.3
"117",17,"18 jaar of ouder","Waarde",2022,"Hattem","Hattem","Gemeente","GM0244",73.8,47.7,15.5,14.7,44.7,31.1,16.1,14.4,6.9,10.5
"118",18,"18 jaar of ouder","Waarde",2022,"Heemskerk","Heemskerk","Gemeente","GM0396",68.9,48.9,16.1,16.1,41.6,33.7,21,16.4,9.8,13.5
"119",19,"18 jaar of ouder","Waarde",2022,"Heemstede","Heemstede","Gemeente","GM0397",74.5,52,11.9,12.6,36.9,32,17,12.7,6.7,11.1
"120",20,"18 jaar of ouder","Waarde",2022,"Heerde","Heerde","Gemeente","GM0246",73,45.5,16,14.5,45.9,32.5,15.9,14.8,6.9,10.1
"121",21,"18 jaar of ouder","Waarde",2022,"Heerenveen","Heerenveen","Gemeente","GM0074",71.2,46.1,16.2,17.6,42.8,33.3,18.8,15.9,8.4,12.6
"122",22,"18 jaar of ouder","Waarde",2022,"Heerlen","Heerlen","Gemeente","GM0917",58.5,36.7,22.3,22.5,50.9,42.9,29.2,21.3,14.4,18.8
"123",23,"18 jaar of ouder","Waarde",2022,"Heeze-Leende","Heeze-Leende","Gemeente","GM1658",72.1,45.2,13.6,12.5,36.8,31.3,16.6,13.3,6.4,10.4
"124",24,"18 jaar of ouder","Waarde",2022,"Heiloo","Heiloo","Gemeente","GM0399",73.3,56,11.5,12.2,36.1,32.7,17.4,13.9,7.3,10.8
"125",25,"18 jaar of ouder","Waarde",2022,"Den Helder","Den Helder","Gemeente","GM0400",65.3,48.3,20.5,22.1,41.3,37.7,22,17,11.1,14.5
"126",26,"18 jaar of ouder","Waarde",2022,"Hellendoorn","Hellendoorn","Gemeente","GM0163",73.6,48.3,16.7,15.4,39.2,30.6,16.1,14.4,7.1,10.3
"127",27,"18 jaar of ouder","Waarde",2022,"Hellevoetsluis","Hellevoetsluis","Gemeente","GM0530",67.6,43.4,21.4,18.1,49,35.3,21.3,16.7,9.5,14.7
"128",28,"18 jaar of ouder","Waarde",2022,"Helmond","Helmond","Gemeente","GM0794",65.3,42.8,18.6,20,42.4,35.2,23.7,18.7,11.5,15.5
"129",29,"18 jaar of ouder","Waarde",2022,"Hendrik-Ido-Ambacht","Hendrik-Ido-Ambacht","Gemeente","GM0531",71.6,41.4,17.4,15,48.3,31.7,20,15.7,8.7,12.1
"130",30,"18 jaar of ouder","Waarde",2022,"Hengelo","Hengelo","Gemeente","GM0164",68.6,51.1,17.6,19.1,39.1,33.7,21.5,17.3,10.7,14.4
"131",31,"18 jaar of ouder","Waarde",2022,"'s-Hertogenbosch","'s-Hertogenbosch","Gemeente","GM0796",69.3,45.2,15.9,18.1,37.5,33.3,22.2,17.1,10.3,14.1
"132",32,"18 jaar of ouder","Waarde",2022,"Heumen","Heumen","Gemeente","GM0252",72.1,49.1,14.3,12.7,40.2,33.4,16.8,14.1,6.8,10.7
"133",33,"18 jaar of ouder","Waarde",2022,"Heusden","Heusden","Gemeente","GM0797",70.4,43.3,16.6,16.2,39.5,32.6,19,15.7,8.2,12.3
"134",34,"18 jaar of ouder","Waarde",2022,"Hillegom","Hillegom","Gemeente","GM0534",71.3,48.6,15.6,16.8,39.3,31.8,20,15.4,9.1,12.8
"135",35,"18 jaar of ouder","Waarde",2022,"Hilvarenbeek","Hilvarenbeek","Gemeente","GM0798",72.3,44.7,15.5,13.1,35.1,31,16.4,14,6.2,10.1
"136",36,"18 jaar of ouder","Waarde",2022,"Hilversum","Hilversum","Gemeente","GM0402",70.4,50.5,14.3,18.3,40.9,32.3,23.2,16.7,10.4,15
"137",37,"18 jaar of ouder","Waarde",2022,"Hoeksche Waard","Hoeksche Waard","Gemeente","GM1963",71.1,40.1,18.4,15.3,46.6,32.8,18.5,15.2,7.6,11.5
"138",38,"18 jaar of ouder","Waarde",2022,"Hof van Twente","Hof van Twente","Gemeente","GM1735",72.5,48.2,16.7,15.2,36.1,31.4,15.7,13.8,6.8,10.4
"139",39,"18 jaar of ouder","Waarde",2022,"Het Hogeland","Het Hogeland","Gemeente","GM1966",68.8,46.9,18.6,20.8,45.7,37.2,18.9,18.1,8,13
"140",40,"18 jaar of ouder","Waarde",2022,"Hollands Kroon","Hollands Kroon","Gemeente","GM1911",71.3,49.4,16.4,17,37.7,32.5,18.3,15.1,8.2,11.6
"141",41,"18 jaar of ouder","Waarde",2022,"Hoogeveen","Hoogeveen","Gemeente","GM0118",69,44,18.4,19.2,42.9,34.1,19.3,17.6,9.1,12.7
"142",42,"18 jaar of ouder","Waarde",2022,"Hoorn","Hoorn","Gemeente","GM0405",68.6,48.9,16.4,17.8,43,33.7,22.2,17.3,10.5,14.6
"143",43,"18 jaar of ouder","Waarde",2022,"Horst aan de Maas","Horst aan de Maas","Gemeente","GM1507",71.3,44.9,15.6,14.6,36.9,32.3,18.4,14.5,7.4,11.6
"144",44,"18 jaar of ouder","Waarde",2022,"Houten","Houten","Gemeente","GM0321",74.4,51.5,14,14.1,43.7,31.6,18.2,13.7,7.7,10.9
"145",45,"18 jaar of ouder","Waarde",2022,"Huizen","Huizen","Gemeente","GM0406",70,46.8,15.4,16.2,42.8,34.1,20.2,15.5,9,12.7
"146",46,"18 jaar of ouder","Waarde",2022,"Hulst","Hulst","Gemeente","GM0677",66,39.7,16.1,16.1,41,33.8,21.3,17.5,8.8,14.7
"147",47,"18 jaar of ouder","Waarde",2022,"IJsselstein","IJsselstein","Gemeente","GM0353",70.5,45.6,16.5,15.9,44.7,33.3,20.8,15.7,9.3,12.9
"148",48,"18 jaar of ouder","Waarde",2022,"Kaag en Braassem","Kaag en Braassem","Gemeente","GM1884",73,45.5,15.1,14.9,38.7,30.5,18,14.2,7.7,11.4
"149",49,"18 jaar of ouder","Waarde",2022,"Kampen","Kampen","Gemeente","GM0166",71,46,17.3,18.1,46.6,31.8,19.5,18.3,8.9,12.1
"150",50,"18 jaar of ouder","Waarde",2022,"Kapelle","Kapelle","Gemeente","GM0678",72.6,43.9,15.3,14.5,49.6,31.4,16.9,14.8,6.5,12
"151",51,"18 jaar of ouder","Waarde",2022,"Katwijk","Katwijk","Gemeente","GM0537",71.7,50.7,18.5,16.4,40,31,19.5,16,8.8,12.1
"152",52,"18 jaar of ouder","Waarde",2022,"Kerkrade","Kerkrade","Gemeente","GM0928",58.9,35.2,21.3,22.6,48.7,42.1,27,20.4,12.5,17.1
"153",53,"18 jaar of ouder","Waarde",2022,"Koggenland","Koggenland","Gemeente","GM1598",73.8,50.3,13.6,14.6,33.9,29.3,17,13.7,7.2,10.4
"154",54,"18 jaar of ouder","Waarde",2022,"Krimpen aan den IJssel","Krimpen aan den IJssel","Gemeente","GM0542",68.1,40.2,17.9,15.6,50.5,34.8,21,16.9,9.3,13.2
"155",55,"18 jaar of ouder","Waarde",2022,"Krimpenerwaard","Krimpenerwaard","Gemeente","GM1931",71.7,42.2,16.8,15.1,46.8,31.6,18.6,15.3,8,11.5
"156",56,"18 jaar of ouder","Waarde",2022,"Laarbeek","Laarbeek","Gemeente","GM1659",70.7,45.5,15.9,14.8,36.6,32,17.2,14.5,7.3,10.9
"157",57,"18 jaar of ouder","Waarde",2022,"Land van Cuijk","Land van Cuijk","Gemeente","GM1982",70.4,46.2,16,14.6,39.5,33.3,17.8,15,7.7,11.4
"158",58,"18 jaar of ouder","Waarde",2022,"Landgraaf","Landgraaf","Gemeente","GM0882",60,36.9,20.9,19.7,48.3,42.5,24.9,19.5,11.2,15.1
"159",59,"18 jaar of ouder","Waarde",2022,"Landsmeer","Landsmeer","Gemeente","GM0415",73.3,47.5,14.2,15.1,38.2,31.8,18.8,14.9,7.9,11.4
"160",60,"18 jaar of ouder","Waarde",2022,"Lansingerland","Lansingerland","Gemeente","GM1621",73.8,45.9,14.7,13.7,44.4,30.4,18.5,14.4,7.8,11.7
"161",61,"18 jaar of ouder","Waarde",2022,"Laren","Laren","Gemeente","GM0417",74.6,49.5,11.5,12.5,36.3,31.9,15.8,12,6,10.6
"162",62,"18 jaar of ouder","Waarde",2022,"Leeuwarden","Leeuwarden","Gemeente","GM0080",69.4,49,15.7,21.9,42.8,32.6,22.3,16.2,10.2,14.5
"163",63,"18 jaar of ouder","Waarde",2022,"Leiden","Leiden","Gemeente","GM0546",69.9,54.2,12.7,19.3,39.3,31.7,26.3,18.4,12.5,16.2
"164",64,"18 jaar of ouder","Waarde",2022,"Leiderdorp","Leiderdorp","Gemeente","GM0547",70.8,49.1,15.2,14.9,42.9,33.5,20.2,15.4,8.8,13.1
"165",65,"18 jaar of ouder","Waarde",2022,"Leidschendam-Voorburg","Leidschendam-Voorburg","Gemeente","GM1916",69.7,47.7,14.8,15.4,44.8,34.2,22.6,16.9,10,15.5
"166",66,"18 jaar of ouder","Waarde",2022,"Lelystad","Lelystad","Gemeente","GM0995",66.7,45.7,18.9,20.9,50.7,34.6,23.6,20.1,11.5,15.9
"167",67,"18 jaar of ouder","Waarde",2022,"Leudal","Leudal","Gemeente","GM1640",69.4,44.3,15.7,14.4,40.2,33.9,18.8,14.7,7.3,11.9
"168",68,"18 jaar of ouder","Waarde",2022,"Leusden","Leusden","Gemeente","GM0327",73.8,48.7,14.2,14.1,43.4,32.2,17.1,13.5,7.3,10.8
"169",69,"18 jaar of ouder","Waarde",2022,"Lingewaard","Lingewaard","Gemeente","GM1705",71.9,48.1,16.2,14.2,39.1,33.5,17,14.2,7.2,10.7
"170",70,"18 jaar of ouder","Waarde",2022,"Lisse","Lisse","Gemeente","GM0553",71.3,47.5,15.6,15.4,40.6,32.7,19.2,15.2,8.3,12.2
"171",71,"18 jaar of ouder","Waarde",2022,"Lochem","Lochem","Gemeente","GM0262",74.1,47.7,15.1,13.4,38.7,32.6,15.2,13.3,6.5,10.2
"172",72,"18 jaar of ouder","Waarde",2022,"Loon op Zand","Loon op Zand","Gemeente","GM0809",69.1,42,18.5,16,39.5,33.6,19.1,15.8,8.2,12.2
"173",73,"18 jaar of ouder","Waarde",2022,"Lopik","Lopik","Gemeente","GM0331",73.7,44.6,15.7,15.1,41.4,29.3,17.5,14.2,7.4,10.5
"174",74,"18 jaar of ouder","Waarde",2022,"Losser","Losser","Gemeente","GM0168",69.4,47.7,20.1,15.3,35,32,20.4,16.5,8.2,12.1
"175",75,"18 jaar of ouder","Waarde",2022,"Maasdriel","Maasdriel","Gemeente","GM0263",71.6,41.7,16.6,16.9,38.5,31.1,18.3,15,7.7,11.9
"176",76,"18 jaar of ouder","Waarde",2022,"Maasgouw","Maasgouw","Gemeente","GM1641",68.2,41.7,16.1,14.8,42.3,35.2,19.3,15.1,7.6,12.2
"177",77,"18 jaar of ouder","Waarde",2022,"Maashorst","Maashorst","Gemeente","GM1991",70.1,45.1,15.9,15.4,38.6,32.8,18.9,15.5,8.5,12.2
"178",78,"18 jaar of ouder","Waarde",2022,"Maassluis","Maassluis","Gemeente","GM0556",65,43.4,19.8,17.7,48.8,35.9,24.9,18.8,11.5,15.8
"179",79,"18 jaar of ouder","Waarde",2022,"Maastricht","Maastricht","Gemeente","GM0935",65.8,47.3,15.7,21.3,40.9,35.9,28.6,19,13.5,18
"180",80,"18 jaar of ouder","Waarde",2022,"Medemblik","Medemblik","Gemeente","GM0420",71.4,49.4,14.9,15.9,36.8,31.5,18.3,14.9,8,11.9
"181",81,"18 jaar of ouder","Waarde",2022,"Meerssen","Meerssen","Gemeente","GM0938",67.7,41.7,17.4,13.9,42.2,35.9,20,14.5,8,12.4
"182",82,"18 jaar of ouder","Waarde",2022,"Meierijstad","Meierijstad","Gemeente","GM1948",70.7,45.2,15.8,15.4,37.9,32.1,18.4,15.3,8.1,12
"183",83,"18 jaar of ouder","Waarde",2022,"Meppel","Meppel","Gemeente","GM0119",70.5,46.9,17.2,18.1,42.5,33,19.5,16.8,9.3,12.6
"184",84,"18 jaar of ouder","Waarde",2022,"Middelburg","Middelburg","Gemeente","GM0687",69.2,50.1,15.7,17.8,48.3,35.9,21.2,17.7,9.3,15.1
"185",85,"18 jaar of ouder","Waarde",2022,"Midden-Delfland","Midden-Delfland","Gemeente","GM1842",73.9,50,14.6,12.9,41.3,30.8,17.9,14,7.4,11.2
"186",86,"18 jaar of ouder","Waarde",2022,"Midden-Drenthe","Midden-Drenthe","Gemeente","GM1731",71.9,46.7,17,16.2,41.5,33.3,16.2,14.6,7,10.6
"187",87,"18 jaar of ouder","Waarde",2022,"Midden-Groningen","Midden-Groningen","Gemeente","GM1952",65.8,42.7,21.4,19.9,47.7,37.7,21.6,18.1,10,14.5
"188",88,"18 jaar of ouder","Waarde",2022,"Moerdijk","Moerdijk","Gemeente","GM1709",68.3,38.2,19.7,17.1,44.2,33.6,19.9,16.7,8.4,13
"189",89,"18 jaar of ouder","Waarde",2022,"Molenlanden","Molenlanden","Gemeente","GM1978",73.2,41.7,16.5,14.8,46.1,29.9,17.4,14.7,7.3,10.3
"190",90,"18 jaar of ouder","Waarde",2022,"Montferland","Montferland","Gemeente","GM1955",69.6,47.5,18.2,15.9,39.2,34.9,18.5,15.6,8.4,12
"191",91,"18 jaar of ouder","Waarde",2022,"Montfoort","Montfoort","Gemeente","GM0335",74,46.6,14.7,14.5,40.1,30.1,17.3,13.6,7.2,10.4
"192",92,"18 jaar of ouder","Waarde",2022,"Mook en Middelaar","Mook en Middelaar","Gemeente","GM0944",71.7,47.6,14.1,12.2,40.3,34.5,16.6,13.7,6.5,10.6
"193",93,"18 jaar of ouder","Waarde",2022,"Neder-Betuwe","Neder-Betuwe","Gemeente","GM1740",72.1,43.4,17.4,17,46.6,30.5,17.9,15.3,7.9,10.9
"194",94,"18 jaar of ouder","Waarde",2022,"Nederweert","Nederweert","Gemeente","GM0946",69.8,45.6,15,13.9,39.8,31.5,17.9,14.6,7.1,11.7
"195",95,"18 jaar of ouder","Waarde",2022,"Nieuwegein","Nieuwegein","Gemeente","GM0356",68.5,45.5,17.3,17.9,46,34.6,22.6,17,10.4,14.8
"196",96,"18 jaar of ouder","Waarde",2022,"Nieuwkoop","Nieuwkoop","Gemeente","GM0569",73.8,45.8,15.2,14.7,39,30.2,17.2,14,7.2,10.6
"197",97,"18 jaar of ouder","Waarde",2022,"Nijkerk","Nijkerk","Gemeente","GM0267",73.3,47,15.5,15.3,42.9,31.3,17.7,14.5,7.8,11
"198",98,"18 jaar of ouder","Waarde",2022,"Nijmegen","Nijmegen","Gemeente","GM0268",68.6,52.6,14.5,19.2,39.8,33.6,25.5,18.7,12.2,15.5
"199",99,"18 jaar of ouder","Waarde",2022,"Nissewaard","Nissewaard","Gemeente","GM1930",66.1,41.6,21.7,19.4,49.7,36,23.8,18.5,11.1,15.6
"200",1,"18 jaar of ouder","Waarde",2022,"Noardeast-Fryslân","Noardeast-Fryslân","Gemeente","GM1970",71.2,43.7,16.6,20,42,32,17.6,16,7.5,11.9
"201",2,"18 jaar of ouder","Waarde",2022,"Noord-Beveland","Noord-Beveland","Gemeente","GM1695",69.6,42.8,17.3,16.4,44.4,36.6,17.8,16.1,7.3,14.2
"202",3,"18 jaar of ouder","Waarde",2022,"Noordenveld","Noordenveld","Gemeente","GM1699",72,47.8,15.8,14.5,43,33.8,15.7,14.1,6.3,10.5
"203",4,"18 jaar of ouder","Waarde",2022,"Noordoostpolder","Noordoostpolder","Gemeente","GM0171",71.2,46,17.3,18.5,44.3,31.8,19.3,16.6,8.9,12.6
"204",5,"18 jaar of ouder","Waarde",2022,"Noordwijk","Noordwijk","Gemeente","GM0575",72.4,50.2,15.4,16.3,37.8,31.4,19.4,15,8.5,12.5
"205",6,"18 jaar of ouder","Waarde",2022,"Nuenen, Gerwen en Nederwetten","Nuenen, Gerwen en Nederwetten","Gemeente","GM0820",72.1,46.1,13.8,12.8,38,32.9,16.7,13.5,6.7,10.7
"206",7,"18 jaar of ouder","Waarde",2022,"Nunspeet","Nunspeet","Gemeente","GM0302",72.8,45.8,15.8,15.7,46.8,31.8,17.2,14.9,7.6,10.6
"207",8,"18 jaar of ouder","Waarde",2022,"Oegstgeest","Oegstgeest","Gemeente","GM0579",74.9,52.5,12.1,12.7,40.5,31.1,18.1,13.5,7.4,11.8
"208",9,"18 jaar of ouder","Waarde",2022,"Oirschot","Oirschot","Gemeente","GM0823",72.5,45.9,14.9,13.6,34.2,30.5,16.5,13.4,6.4,10.5
"209",10,"18 jaar of ouder","Waarde",2022,"Oisterwijk","Oisterwijk","Gemeente","GM0824",71.6,44.7,15.6,14.6,36.4,32.3,17.6,14.1,7,11.3
"210",11,"18 jaar of ouder","Waarde",2022,"Oldambt","Oldambt","Gemeente","GM1895",64.7,41.5,26,21.7,50,38.4,22.8,20.6,10.1,16.6
"211",12,"18 jaar of ouder","Waarde",2022,"Oldebroek","Oldebroek","Gemeente","GM0269",73.2,44.6,16.6,15.8,47.4,31.2,16.8,15.9,7.6,10.5
"212",13,"18 jaar of ouder","Waarde",2022,"Oldenzaal","Oldenzaal","Gemeente","GM0173",70.6,51.3,17.7,16.3,35.6,32.4,18.8,15.7,8.8,12.1
"213",14,"18 jaar of ouder","Waarde",2022,"Olst-Wijhe","Olst-Wijhe","Gemeente","GM1773",73.3,47,16,15.1,39.4,31.5,16.1,14.4,6.9,10.3
"214",15,"18 jaar of ouder","Waarde",2022,"Ommen","Ommen","Gemeente","GM0175",74.8,48.4,15.8,15.2,40.6,30.6,15.8,15.8,7,10.4
"215",16,"18 jaar of ouder","Waarde",2022,"Oost Gelre","Oost Gelre","Gemeente","GM1586",74,49.6,15.9,15,33.8,30.3,15,13.8,7.2,10.1
"216",17,"18 jaar of ouder","Waarde",2022,"Oosterhout","Oosterhout","Gemeente","GM0826",66.9,40.1,19.2,16.6,42.6,35.2,21.9,17.8,9.7,13.8
"217",18,"18 jaar of ouder","Waarde",2022,"Ooststellingwerf","Ooststellingwerf","Gemeente","GM0085",70.6,45.2,17.7,17.2,43,34.2,17.1,15.7,7.4,11.5
"218",19,"18 jaar of ouder","Waarde",2022,"Oostzaan","Oostzaan","Gemeente","GM0431",72.9,48.4,15,14.7,37.5,31.3,18.5,15.1,7.6,11.1
"219",20,"18 jaar of ouder","Waarde",2022,"Opmeer","Opmeer","Gemeente","GM0432",72.9,49.1,13.8,15.2,34.1,29.7,17.2,14.5,7.5,10.7
"220",21,"18 jaar of ouder","Waarde",2022,"Opsterland","Opsterland","Gemeente","GM0086",73.5,45.8,15.8,16.2,41.1,32,16.3,14.7,6.8,10.7
"221",22,"18 jaar of ouder","Waarde",2022,"Oss","Oss","Gemeente","GM0828",68.2,44.1,17.4,17.8,41.1,33.8,21.2,17.2,10,13.7
"222",23,"18 jaar of ouder","Waarde",2022,"Oude IJsselstreek","Oude IJsselstreek","Gemeente","GM1509",69.8,45.8,19,16.3,39,34.1,18.2,16,8.5,12.5
"223",24,"18 jaar of ouder","Waarde",2022,"Ouder-Amstel","Ouder-Amstel","Gemeente","GM0437",72.4,48.8,13.4,15,40.3,31.9,20.9,15.7,8.6,13.4
"224",25,"18 jaar of ouder","Waarde",2022,"Oudewater","Oudewater","Gemeente","GM0589",73.9,46.4,15,14.5,38.7,30.5,17.5,13.7,7.1,10.8
"225",26,"18 jaar of ouder","Waarde",2022,"Overbetuwe","Overbetuwe","Gemeente","GM1734",72.2,46.2,16,14.6,41.3,33,17.6,14.4,7.6,11.1
"226",27,"18 jaar of ouder","Waarde",2022,"Papendrecht","Papendrecht","Gemeente","GM0590",68.3,40.2,18.5,16.6,49.2,34.4,21.3,17.2,9.6,13.7
"227",28,"18 jaar of ouder","Waarde",2022,"Peel en Maas","Peel en Maas","Gemeente","GM1894",70.1,45.3,15.5,14.4,37.5,32.5,18.4,14.9,7.5,11.9
"228",29,"18 jaar of ouder","Waarde",2022,"Pekela","Pekela","Gemeente","GM0765",61.7,40.1,27.2,22.8,49,40,22.8,20.8,11.1,16.7
"229",30,"18 jaar of ouder","Waarde",2022,"Pijnacker-Nootdorp","Pijnacker-Nootdorp","Gemeente","GM1926",73.6,47.4,14.8,13.7,43.9,30.5,19.1,14.5,8.1,12.2
