"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"1","18 jaar of ouder","Waarde",2022,"Nederland","Land      ",22.2,10.2
"2","18 jaar of ouder","Waarde",2022,"Aa en Hunze","Gemeente  ",16,6.4
"3","18 jaar of ouder","Waarde",2022,"Aalsmeer","Gemeente  ",19.3,8.2
"4","18 jaar of ouder","Waarde",2022,"Aalten","Gemeente  ",16.8,7.7
"5","18 jaar of ouder","Waarde",2022,"Achtkarspelen","Gemeente  ",17.8,7.7
"6","18 jaar of ouder","Waarde",2022,"Alblasserdam","Gemeente  ",21.7,9.7
"7","18 jaar of ouder","Waarde",2022,"Albrandswaard","Gemeente  ",19,7.9
"8","18 jaar of ouder","Waarde",2022,"Alkmaar","Gemeente  ",23,10.9
"9","18 jaar of ouder","Waarde",2022,"Almelo","Gemeente  ",23.2,12
"10","18 jaar of ouder","Waarde",2022,"Almere","Gemeente  ",23.6,11.5
"11","18 jaar of ouder","Waarde",2022,"Alphen aan den Rijn","Gemeente  ",20.8,9.3
"12","18 jaar of ouder","Waarde",2022,"Alphen-Chaam","Gemeente  ",16.9,6.5
"13","18 jaar of ouder","Waarde",2022,"Altena","Gemeente  ",18,7.6
"14","18 jaar of ouder","Waarde",2022,"Ameland","Gemeente  ",18.3,8.4
"15","18 jaar of ouder","Waarde",2022,"Amersfoort","Gemeente  ",21.5,10.1
"16","18 jaar of ouder","Waarde",2022,"Amstelveen","Gemeente  ",24.2,10.4
"17","18 jaar of ouder","Waarde",2022,"Amsterdam","Gemeente  ",31.6,15.1
"18","18 jaar of ouder","Waarde",2022,"Apeldoorn","Gemeente  ",20.6,9.6
"19","18 jaar of ouder","Waarde",2022,"Arnhem","Gemeente  ",26.2,13.3
"20","18 jaar of ouder","Waarde",2022,"Assen","Gemeente  ",20.1,9.2
"21","18 jaar of ouder","Waarde",2022,"Asten","Gemeente  ",18.2,7.7
"22","18 jaar of ouder","Waarde",2022,"Baarle-Nassau","Gemeente  ",18.3,7.1
"23","18 jaar of ouder","Waarde",2022,"Baarn","Gemeente  ",18.9,8.1
"24","18 jaar of ouder","Waarde",2022,"Barendrecht","Gemeente  ",20.6,8.8
"25","18 jaar of ouder","Waarde",2022,"Barneveld","Gemeente  ",17.4,7.8
"26","18 jaar of ouder","Waarde",2022,"Beek","Gemeente  ",21.3,9
"27","18 jaar of ouder","Waarde",2022,"Beekdaelen","Gemeente  ",20.9,8.7
"28","18 jaar of ouder","Waarde",2022,"Beesel","Gemeente  ",19.8,8.6
"29","18 jaar of ouder","Waarde",2022,"Berg en Dal","Gemeente  ",18.4,7.9
"30","18 jaar of ouder","Waarde",2022,"Bergeijk","Gemeente  ",17.5,6.8
"31","18 jaar of ouder","Waarde",2022,"Bergen (L.)","Gemeente  ",18.8,7.7
"32","18 jaar of ouder","Waarde",2022,"Bergen (NH.)","Gemeente  ",16.9,6.9
"33","18 jaar of ouder","Waarde",2022,"Bergen op Zoom","Gemeente  ",23.5,10.8
"34","18 jaar of ouder","Waarde",2022,"Berkelland","Gemeente  ",15.5,7.2
"35","18 jaar of ouder","Waarde",2022,"Bernheze","Gemeente  ",17.1,7.2
"36","18 jaar of ouder","Waarde",2022,"Best","Gemeente  ",19.5,8.3
"37","18 jaar of ouder","Waarde",2022,"Beuningen","Gemeente  ",17.8,7.8
"38","18 jaar of ouder","Waarde",2022,"Beverwijk","Gemeente  ",23.7,11.8
"39","18 jaar of ouder","Waarde",2022,"De Bilt","Gemeente  ",18.9,7.8
"40","18 jaar of ouder","Waarde",2022,"Bladel","Gemeente  ",17.8,7
"41","18 jaar of ouder","Waarde",2022,"Blaricum","Gemeente  ",16.1,6.6
"42","18 jaar of ouder","Waarde",2022,"Bloemendaal","Gemeente  ",15.5,6
"43","18 jaar of ouder","Waarde",2022,"Bodegraven-Reeuwijk","Gemeente  ",18.4,7.8
"44","18 jaar of ouder","Waarde",2022,"Boekel","Gemeente  ",16.6,7.1
"45","18 jaar of ouder","Waarde",2022,"Borger-Odoorn","Gemeente  ",17.9,7.9
"46","18 jaar of ouder","Waarde",2022,"Borne","Gemeente  ",16.9,7.7
"47","18 jaar of ouder","Waarde",2022,"Borsele","Gemeente  ",17.5,7.1
"48","18 jaar of ouder","Waarde",2022,"Boxtel","Gemeente  ",19.5,8.5
"49","18 jaar of ouder","Waarde",2022,"Breda","Gemeente  ",23.7,10.6
"50","18 jaar of ouder","Waarde",2022,"Brielle","Gemeente  ",18.6,7.8
"51","18 jaar of ouder","Waarde",2022,"Bronckhorst","Gemeente  ",15.3,6.6
"52","18 jaar of ouder","Waarde",2022,"Brummen","Gemeente  ",17.5,7.9
"53","18 jaar of ouder","Waarde",2022,"Brunssum","Gemeente  ",26,12.1
"54","18 jaar of ouder","Waarde",2022,"Bunnik","Gemeente  ",16.7,6.4
"55","18 jaar of ouder","Waarde",2022,"Bunschoten","Gemeente  ",17.6,8
"56","18 jaar of ouder","Waarde",2022,"Buren","Gemeente  ",16.7,7
"57","18 jaar of ouder","Waarde",2022,"Capelle aan den IJssel","Gemeente  ",24.3,11.5
"58","18 jaar of ouder","Waarde",2022,"Castricum","Gemeente  ",17.2,7.2
"59","18 jaar of ouder","Waarde",2022,"Coevorden","Gemeente  ",17.4,8
"60","18 jaar of ouder","Waarde",2022,"Cranendonck","Gemeente  ",18.7,7.5
"61","18 jaar of ouder","Waarde",2022,"Culemborg","Gemeente  ",20.7,9.4
"62","18 jaar of ouder","Waarde",2022,"Dalfsen","Gemeente  ",15.2,6.3
"63","18 jaar of ouder","Waarde",2022,"Dantumadiel","Gemeente  ",17.5,7.3
"64","18 jaar of ouder","Waarde",2022,"Delft","Gemeente  ",27.8,13
"65","18 jaar of ouder","Waarde",2022,"Deurne","Gemeente  ",18.2,7.8
"66","18 jaar of ouder","Waarde",2022,"Deventer","Gemeente  ",22.2,11.1
"67","18 jaar of ouder","Waarde",2022,"Diemen","Gemeente  ",27.5,12.2
"68","18 jaar of ouder","Waarde",2022,"Dijk en Waard","Gemeente  ",20.2,9.2
"69","18 jaar of ouder","Waarde",2022,"Dinkelland","Gemeente  ",15.6,6.2
"70","18 jaar of ouder","Waarde",2022,"Doesburg","Gemeente  ",21.3,10.4
"71","18 jaar of ouder","Waarde",2022,"Doetinchem","Gemeente  ",19.9,9.7
"72","18 jaar of ouder","Waarde",2022,"Dongen","Gemeente  ",19.9,8.6
"73","18 jaar of ouder","Waarde",2022,"Dordrecht","Gemeente  ",25.4,12.1
"74","18 jaar of ouder","Waarde",2022,"Drechterland","Gemeente  ",17.4,7.4
"75","18 jaar of ouder","Waarde",2022,"Drimmelen","Gemeente  ",18.4,7.5
"76","18 jaar of ouder","Waarde",2022,"Dronten","Gemeente  ",19.5,9.1
"77","18 jaar of ouder","Waarde",2022,"Druten","Gemeente  ",18.3,8.2
"78","18 jaar of ouder","Waarde",2022,"Duiven","Gemeente  ",18.5,8.4
"79","18 jaar of ouder","Waarde",2022,"Echt-Susteren","Gemeente  ",21.4,8.7
"80","18 jaar of ouder","Waarde",2022,"Edam-Volendam","Gemeente  ",17.5,7.4
"81","18 jaar of ouder","Waarde",2022,"Ede","Gemeente  ",19.5,8.9
"82","18 jaar of ouder","Waarde",2022,"Eemnes","Gemeente  ",16.8,6.9
"83","18 jaar of ouder","Waarde",2022,"Eemsdelta","Gemeente  ",22.1,10
"84","18 jaar of ouder","Waarde",2022,"Eersel","Gemeente  ",17,6.7
"85","18 jaar of ouder","Waarde",2022,"Eijsden-Margraten","Gemeente  ",18.5,7.1
"86","18 jaar of ouder","Waarde",2022,"Eindhoven","Gemeente  ",26,12.4
"87","18 jaar of ouder","Waarde",2022,"Elburg","Gemeente  ",17.6,8
"88","18 jaar of ouder","Waarde",2022,"Emmen","Gemeente  ",20.7,10
"89","18 jaar of ouder","Waarde",2022,"Enkhuizen","Gemeente  ",21.7,9.7
"90","18 jaar of ouder","Waarde",2022,"Enschede","Gemeente  ",24.8,12.8
"91","18 jaar of ouder","Waarde",2022,"Epe","Gemeente  ",17.4,7.7
"92","18 jaar of ouder","Waarde",2022,"Ermelo","Gemeente  ",17.9,7.9
"93","18 jaar of ouder","Waarde",2022,"Etten-Leur","Gemeente  ",21.6,9.4
"94","18 jaar of ouder","Waarde",2022,"De Fryske Marren","Gemeente  ",16.5,7.1
"95","18 jaar of ouder","Waarde",2022,"Geertruidenberg","Gemeente  ",20,8.7
"96","18 jaar of ouder","Waarde",2022,"Geldrop-Mierlo","Gemeente  ",20.1,8.7
"97","18 jaar of ouder","Waarde",2022,"Gemert-Bakel","Gemeente  ",18,7.8
"98","18 jaar of ouder","Waarde",2022,"Gennep","Gemeente  ",18.4,7.9
"99","18 jaar of ouder","Waarde",2022,"Gilze en Rijen","Gemeente  ",19.9,8.7
"100","18 jaar of ouder","Waarde",2022,"Goeree-Overflakkee","Gemeente  ",18.8,7.8
"101","18 jaar of ouder","Waarde",2022,"Goes","Gemeente  ",20.3,8.5
"102","18 jaar of ouder","Waarde",2022,"Goirle","Gemeente  ",18.4,7.4
"103","18 jaar of ouder","Waarde",2022,"Gooise Meren","Gemeente  ",19.3,7.9
"104","18 jaar of ouder","Waarde",2022,"Gorinchem","Gemeente  ",24,11.6
"105","18 jaar of ouder","Waarde",2022,"Gouda","Gemeente  ",23.9,11
"106","18 jaar of ouder","Waarde",2022,"'s-Gravenhage","Gemeente  ",29.7,14.9
"107","18 jaar of ouder","Waarde",2022,"Groningen","Gemeente  ",25.9,11.7
"108","18 jaar of ouder","Waarde",2022,"Gulpen-Wittem","Gemeente  ",19.7,8.2
"109","18 jaar of ouder","Waarde",2022,"Haaksbergen","Gemeente  ",16.4,7.3
"110","18 jaar of ouder","Waarde",2022,"Haarlem","Gemeente  ",23.9,11.3
"111","18 jaar of ouder","Waarde",2022,"Haarlemmermeer","Gemeente  ",20.6,9.4
"112","18 jaar of ouder","Waarde",2022,"Halderberge","Gemeente  ",20.1,8.5
"113","18 jaar of ouder","Waarde",2022,"Hardenberg","Gemeente  ",16.5,7.6
"114","18 jaar of ouder","Waarde",2022,"Harderwijk","Gemeente  ",20.8,9.7
"115","18 jaar of ouder","Waarde",2022,"Hardinxveld-Giessendam","Gemeente  ",18.5,8
"116","18 jaar of ouder","Waarde",2022,"Harlingen","Gemeente  ",18.3,8.4
"117","18 jaar of ouder","Waarde",2022,"Hattem","Gemeente  ",16.1,6.9
"118","18 jaar of ouder","Waarde",2022,"Heemskerk","Gemeente  ",21,9.8
"119","18 jaar of ouder","Waarde",2022,"Heemstede","Gemeente  ",17,6.7
"120","18 jaar of ouder","Waarde",2022,"Heerde","Gemeente  ",15.9,6.9
"121","18 jaar of ouder","Waarde",2022,"Heerenveen","Gemeente  ",18.8,8.4
"122","18 jaar of ouder","Waarde",2022,"Heerlen","Gemeente  ",29.2,14.4
"123","18 jaar of ouder","Waarde",2022,"Heeze-Leende","Gemeente  ",16.6,6.4
"124","18 jaar of ouder","Waarde",2022,"Heiloo","Gemeente  ",17.4,7.3
"125","18 jaar of ouder","Waarde",2022,"Den Helder","Gemeente  ",22,11.1
"126","18 jaar of ouder","Waarde",2022,"Hellendoorn","Gemeente  ",16.1,7.1
"127","18 jaar of ouder","Waarde",2022,"Hellevoetsluis","Gemeente  ",21.3,9.5
"128","18 jaar of ouder","Waarde",2022,"Helmond","Gemeente  ",23.7,11.5
"129","18 jaar of ouder","Waarde",2022,"Hendrik-Ido-Ambacht","Gemeente  ",20,8.7
"130","18 jaar of ouder","Waarde",2022,"Hengelo","Gemeente  ",21.5,10.7
"131","18 jaar of ouder","Waarde",2022,"'s-Hertogenbosch","Gemeente  ",22.2,10.3
"132","18 jaar of ouder","Waarde",2022,"Heumen","Gemeente  ",16.8,6.8
"133","18 jaar of ouder","Waarde",2022,"Heusden","Gemeente  ",19,8.2
"134","18 jaar of ouder","Waarde",2022,"Hillegom","Gemeente  ",20,9.1
"135","18 jaar of ouder","Waarde",2022,"Hilvarenbeek","Gemeente  ",16.4,6.2
"136","18 jaar of ouder","Waarde",2022,"Hilversum","Gemeente  ",23.2,10.4
"137","18 jaar of ouder","Waarde",2022,"Hoeksche Waard","Gemeente  ",18.5,7.6
"138","18 jaar of ouder","Waarde",2022,"Hof van Twente","Gemeente  ",15.7,6.8
"139","18 jaar of ouder","Waarde",2022,"Het Hogeland","Gemeente  ",18.9,8
"140","18 jaar of ouder","Waarde",2022,"Hollands Kroon","Gemeente  ",18.3,8.2
"141","18 jaar of ouder","Waarde",2022,"Hoogeveen","Gemeente  ",19.3,9.1
"142","18 jaar of ouder","Waarde",2022,"Hoorn","Gemeente  ",22.2,10.5
"143","18 jaar of ouder","Waarde",2022,"Horst aan de Maas","Gemeente  ",18.4,7.4
"144","18 jaar of ouder","Waarde",2022,"Houten","Gemeente  ",18.2,7.7
"145","18 jaar of ouder","Waarde",2022,"Huizen","Gemeente  ",20.2,9
"146","18 jaar of ouder","Waarde",2022,"Hulst","Gemeente  ",21.3,8.8
"147","18 jaar of ouder","Waarde",2022,"IJsselstein","Gemeente  ",20.8,9.3
"148","18 jaar of ouder","Waarde",2022,"Kaag en Braassem","Gemeente  ",18,7.7
"149","18 jaar of ouder","Waarde",2022,"Kampen","Gemeente  ",19.5,8.9
"150","18 jaar of ouder","Waarde",2022,"Kapelle","Gemeente  ",16.9,6.5
"151","18 jaar of ouder","Waarde",2022,"Katwijk","Gemeente  ",19.5,8.8
"152","18 jaar of ouder","Waarde",2022,"Kerkrade","Gemeente  ",27,12.5
"153","18 jaar of ouder","Waarde",2022,"Koggenland","Gemeente  ",17,7.2
"154","18 jaar of ouder","Waarde",2022,"Krimpen aan den IJssel","Gemeente  ",21,9.3
"155","18 jaar of ouder","Waarde",2022,"Krimpenerwaard","Gemeente  ",18.6,8
"156","18 jaar of ouder","Waarde",2022,"Laarbeek","Gemeente  ",17.2,7.3
"157","18 jaar of ouder","Waarde",2022,"Land van Cuijk","Gemeente  ",17.8,7.7
"158","18 jaar of ouder","Waarde",2022,"Landgraaf","Gemeente  ",24.9,11.2
"159","18 jaar of ouder","Waarde",2022,"Landsmeer","Gemeente  ",18.8,7.9
"160","18 jaar of ouder","Waarde",2022,"Lansingerland","Gemeente  ",18.5,7.8
"161","18 jaar of ouder","Waarde",2022,"Laren","Gemeente  ",15.8,6
"162","18 jaar of ouder","Waarde",2022,"Leeuwarden","Gemeente  ",22.3,10.2
"163","18 jaar of ouder","Waarde",2022,"Leiden","Gemeente  ",26.3,12.5
"164","18 jaar of ouder","Waarde",2022,"Leiderdorp","Gemeente  ",20.2,8.8
"165","18 jaar of ouder","Waarde",2022,"Leidschendam-Voorburg","Gemeente  ",22.6,10
"166","18 jaar of ouder","Waarde",2022,"Lelystad","Gemeente  ",23.6,11.5
"167","18 jaar of ouder","Waarde",2022,"Leudal","Gemeente  ",18.8,7.3
"168","18 jaar of ouder","Waarde",2022,"Leusden","Gemeente  ",17.1,7.3
"169","18 jaar of ouder","Waarde",2022,"Lingewaard","Gemeente  ",17,7.2
"170","18 jaar of ouder","Waarde",2022,"Lisse","Gemeente  ",19.2,8.3
"171","18 jaar of ouder","Waarde",2022,"Lochem","Gemeente  ",15.2,6.5
"172","18 jaar of ouder","Waarde",2022,"Loon op Zand","Gemeente  ",19.1,8.2
"173","18 jaar of ouder","Waarde",2022,"Lopik","Gemeente  ",17.5,7.4
